song,classical
Verdi. Giuseppe - Luisa Miller. Opera,0.999974
Cherubini. Luigi - Requiem No.2. For Male Chorus & Orchestra In D Minor,0.998933
Verdi. Giuseppe - Sacred Pieces (4). For Chorus & Orchestra (Quattro Pezzi Sacri),0.998675
Verdi. Giuseppe - La Traviata. Opera,0.998594
Mahler. Gustav - Symphony No. 10 In F Sharp Minor (realization By Deryck Cooke),0.998329
Antonio Vivaldi (Holiday) - Gloria In D Major. Et In Terra Pax,0.998277
The Cambridge Singers & Orchestra (Holiday) - O Little One Sweet,0.998129
The Cambridge Singers & Orchestra (Holiday) - Angels We Have Heard On High,0.998097
Boccherini. Luigi - String Quintet For 2 Violins. Viola & 2 Cellos In G Minor. G. 351 (Op. 42?4),0.997524
Verdi. Giuseppe - Requiem Mass. For Soloists. Chorus & Orchestra (Manzoni Requiem),0.997083
Boccherini. Luigi - Symphony In A Major. G. 508 (Op. 12?6),0.99619
Cherubini. Luigi - Symphony In D Major,0.995693
"Boccherini. Luigi - Symphony In D Minor (""La Casa Del Diavolo""). G. 506 (Op. 12?4)",0.995337
Boccherini. Luigi - Symphony In B Flat Major. G. 497 (Op. 21?5),0.994734
The Cambridge Singers & Orchestra (Holiday) - 'Twas In The Moon Of Winter Time,0.994541
Boccherini. Luigi - String Quartet in A major. G. 213 (Op. 39),0.994298
"Dittersdorf. Karl Ditters von - Sinfonia In D Major. (""Il Combatiimento Delle Passioni Umani""). Grave D16",0.993809
"Dittersdorf. Karl Ditters von - Sinfonia In A Major. (""Sinfonia Nazionale Nel Gusto Di Cinque Nazioni""). Grave A10",0.993683
Cherubini. Luigi - String Quartet No. 6 In A Minor,0.993682
"Mealli. Giovanni - Sonata For Violin & Continuo. Op. 3?6 (""La Sabbatina"")",0.992608
Boccherini. Luigi - Cello Concerto In B Flat Major. G. 482,0.992325
Rachmaninov. Sergey - Symphony No. 1 in D minor. Op. 13 (lost; reconstructed from piano duets and orch. fragments),0.991946
Boccherini. Luigi - Cello Concerto In C Major. G. 477,0.991543
Boccherini. Luigi - Symphony In D Major. G. 496 (Op. 21?4),0.990711
Rosetti. Antonio - Symphony In D Major. A 12?K 1 No 12,0.990453
Morricone. Ennio - Giuseppe Tornatore Suite,0.989775
Cherubini. Luigi - Overtures,0.989292
Boccherini. Luigi - Cello Concerto In A Major. G. 475,0.988613
Beck. Ignaz. Franz - Overture (Sinfonia) In G Minor. Op. 1?1 (Callen 1),0.988587
Dittersdorf. Karl Ditters von - Concerto For Viola & Orchestra In F,0.987603
"Dittersdorf. Karl Ditters von - Symphony After Ovid's ""Metamorphoses"" No. 4 In F Major (""Die Rettung Der Andromeda Durch Perseus"")",0.986861
Deuter - Marfa Lights 2,0.986381
"Berwald. Franz - Symphony No. 2 In D. ""Sinfonie Capricieuse""",0.985798
Fiorillo. Federigo - Concerto For Violin & Orchestra No 1 In F,0.984845
Strauss. Richard - Salome. opera. Op. 54 (TrV 215),0.984308
Boccherini. Luigi - String Quartet In D Major. G. 203 (Op. 32?3),0.983736
Boccherini. Luigi - Symphony In D Major. G. 509 (Op. 35?1),0.982975
Corciolli - Mikhael (Angel Of Divine Protection),0.982738
Boccherini. Luigi - Cello Concerto In C Major. G. 573,0.981568
Baguer. Carlos - Symphony No. 16 In G Major,0.981337
John Jacob Niles (Holiday) - Jesus. Jesus. Rest Your Head,0.979518
Dittersdorf. Karl Ditters von - Divertimento Fur Violine. Viola Und Violoncello D Major,0.977401
Boyce. William - Ode For St. Cecilia's Day,0.977055
The Cambridge Singers & Orchestra (Holiday) - Good Christian Men. Rejoice,0.976295
Baguer. Carlos - Symphony No. 18 In B Flat Major,0.976135
Corciolli - Friends (Sky),0.975691
"Mahler. Gustav - Symphony No. 6 in A minor (""Tragic"")",0.975343
Boccherini. Luigi - Symphony In D Major. G. 520 (Op. 42),0.975019
