id,song,classical
1111,"Verdi, Giuseppe - Luisa Miller, Opera",0.999974
1224,"Cherubini, Luigi - Requiem No.2, For Male Chorus & Orchestra In D Minor",0.998933
1106,"Verdi, Giuseppe - Sacred Pieces (4), For Chorus & Orchestra (Quattro Pezzi Sacri)",0.998675
1110,"Verdi, Giuseppe - La Traviata, Opera",0.998594
1450,"Mahler, Gustav - Symphony No. 10 In F Sharp Minor (realization By Deryck Cooke)",0.998329
90,"Antonio Vivaldi (Holiday) - Gloria In D Major, Et In Terra Pax",0.998277
1368,The Cambridge Singers & Orchestra (Holiday) - O Little One Sweet,0.998129
1366,The Cambridge Singers & Orchestra (Holiday) - Angels We Have Heard On High,0.998097
1030,"Boccherini, Luigi - String Quintet For 2 Violins, Viola & 2 Cellos In G Minor, G. 351 (Op. 42?4)",0.997524
1114,"Verdi, Giuseppe - Requiem Mass, For Soloists, Chorus & Orchestra (Manzoni Requiem)",0.997083
1005,"Boccherini, Luigi - Symphony In A Major, G. 508 (Op. 12?6)",0.99619
1225,"Cherubini, Luigi - Symphony In D Major",0.995693
1036,"Boccherini, Luigi - Symphony In D Minor (""La Casa Del Diavolo""), G. 506 (Op. 12?4)",0.995337
1032,"Boccherini, Luigi - Symphony In B Flat Major, G. 497 (Op. 21?5)",0.994734
1365,The Cambridge Singers & Orchestra (Holiday) - 'Twas In The Moon Of Winter Time,0.994541
1029,"Boccherini, Luigi - String Quartet in A major, G. 213 (Op. 39)",0.994298
1445,"Dittersdorf, Karl Ditters von - Sinfonia In D Major, (""Il Combatiimento Delle Passioni Umani""), Grave D16",0.993809
1444,"Dittersdorf, Karl Ditters von - Sinfonia In A Major, (""Sinfonia Nazionale Nel Gusto Di Cinque Nazioni""), Grave A10",0.993683
1226,"Cherubini, Luigi - String Quartet No. 6 In A Minor",0.993682
558,"Mealli, Giovanni - Sonata For Violin & Continuo, Op. 3?6 (""La Sabbatina"")",0.992608
1011,"Boccherini, Luigi - Cello Concerto In B Flat Major, G. 482",0.992325
175,"Rachmaninov, Sergey - Symphony No. 1 in D minor, Op. 13 (lost; reconstructed from piano duets and orch. fragments)",0.991946
1012,"Boccherini, Luigi - Cello Concerto In C Major, G. 477",0.991543
1034,"Boccherini, Luigi - Symphony In D Major, G. 496 (Op. 21?4)",0.990711
129,"Rosetti, Antonio - Symphony In D Major, A 12?K 1 No 12",0.990453
406,"Morricone, Ennio - Giuseppe Tornatore Suite",0.989775
1223,"Cherubini, Luigi - Overtures",0.989292
1010,"Boccherini, Luigi - Cello Concerto In A Major, G. 475",0.988613
