song,country
Herman's Hermits - Listen People,0.908942
Irish Rovers (Holiday) - We Wish You A Merry Christmas,0.754689
The Ray Conniff Singers (Holiday) - Silver Bells,0.753527
Irish Rovers (Holiday) - The Holly Bears The Crown,0.696739
Irish Rovers (Holiday) - God Rest Ye Merry Gentlemen,0.667116
Rachel Harrington - Shoeless Joe,0.647281
Huracanes Del Norte - El Perro De Tu Marido,0.613005
Markus Reuter - A Clue To Reality,0.605766
Loquat - It's Yours To Keep,0.559428
Jason Aldean - Laughed Until We Cried,0.552516
Loudon Wainwright III - Grey In L.A.,0.528492
Neil Young - Cripple Creek Ferry,0.526164
Les Paul & Mary Ford - How High The Moon,0.50906
Verdi. Giuseppe - Macbeth. Opera,0.506138
Clarence Fountain - I Want To Go,0.505124
Michael Martin Murphey - Tumbling Tumbleweeds,0.502479
Loquat - Need Air,0.502247
Ella Fitzgerald - I Concentrate On You,0.492067
Michael Martin Murphey (Holiday) - Corn. Water And Wood,0.475728
Finbar & Eddie Furey - Curragh Of Kildare,0.471652
Lefty Frizzell - I Love You A Thousand Ways,0.458703
Ralph Stanley & The Clinch Mountain Boys - I Am Weary,0.439792
The Beatles - I'll Follow The Sun,0.427733
Loquat - Serial Mess,0.418835
Black Lips - It Feels Alright,0.413992
The Rolling Stones - I'm Free,0.407514
John Prine - It's A Cheating Situation,0.405878
Starfield - Can I Stay Here Forever?,0.405038
Kenny Rogers (Holiday) - White Christmas,0.400697
Various Artists? 50 Most Loved Christmas Carols (Holiday) - While Sherherds Watched Their Flocks,0.396687
The Blakes - Commit,0.395184
Doc Watson - Little Sadie,0.394271
Lefty Frizzell - Always Late With Your Kisses,0.379653
Steve Earle & Reckless Kelly - Reconsider Me,0.377986
Los Rieleros Del Norte - Abrazado De Un Poste,0.377947
Lucy Kaplansky - When I Get To The Border,0.37168
Nitty Gritty Dirt Band - One Sure Honest Line,0.370777
Lefty Frizzell - My Rough And Rowdy Ways,0.370548
Asleep At The Wheel - Cotton-Eyed Joe,0.369199
The Beatles - You Won't See Me,0.366361
Brandi Carlile - Throw It All Away,0.366227
Michelle Branch - All You Wanted,0.363649
Junior Brown - Gotta Get Up Everymorning,0.359049
Ella Fitzgerald - Aren't You Kind Of Glad We Did,0.354894
Waylon Jennings - Are You Sure Hank Done It This Way,0.349883
The Beatles - Paperback Writer,0.349133
Iron & Wine - Communion Cups And Someone's Coat,0.345025
Peggy Seeger - O The Wind And Rain,0.342107
The Del McCoury Band - Asheville Turnaround,0.34206
Tony Bennett - I Wanna Be Around,0.341408
Hank Williams Jr. - Whiskey Bent And Hell Bound,0.333069
Herman's Hermits - There's A Kind Of Hush,0.33133
Lyle Lovett - Simple Song,0.32996
Videos - Trickle Trickle,0.323894
The Beatles - If I Fell,0.320403
Enanitos Verdes - Luz De Dia,0.31981
Iron & Wine - Faded From The Winter,0.317275
The Dead Milkmen - Punk Rock Girl,0.313461
Michael Martin Murphey - Talkin' To The Wrong Man,0.31111
Blackmore's Night (Holiday) - Ma-O-Tzur,0.300137
The Beatles - With A Little Help From My Friends,0.297733
Indigo Girls - Left Me A Fool,0.294906
Leona Lewis - Bleeding Love,0.292171
The Del McCoury Band - Dry My Tears And Move On,0.290404
Cat Stevens - The Wind,0.289076
Ralph Stanley & The Clinch Mountain Boys - Beautiful Star Of Bethlehem,0.288302
John Michael Montgomery - Angel In My Eyes,0.286617
Earl Scruggs - Get In Line Brother,0.285287
Bunny Berigan - Plantation Moods,0.284609
The Beatles - Things We Said Today,0.283924
Rose Cousins - One Love,0.276509
Guns N' Roses - Don't Cry,0.276495
Jens Lekman - The Wrong Hands,0.275521
Jars Of Clay (Holiday) - God Rest Ye Merry Gentlemen,0.273698
Jarabe De Palo - Grita,0.271252
Hank Williams III - Honky Tonk Girls,0.26882
Nitty Gritty Dirt Band - You Are My Flower,0.267947
Lucy Kaplansky - Land Of The Living,0.267137
Ella Fitzgerald - For You. For Me. For Evermore,0.266501
Junior Brown - Where Has All the Money Gone?,0.264126
Eric Harringer & John Paul Lacey - Nature's Lullaby,0.262377
The Del McCoury Band - A Far Cry,0.262318
Paul Siebel - My Town,0.260574
Sarah McLachlan - Building A Mystery,0.260147
Ella Fitzgerald - Mood Indigo,0.260142
Rissi Palmer - Anybody Out There,0.25987
Stevie Wonder - My Cherie Amour,0.258718
Rissi Palmer - Leavin' On Your Mind,0.257713
Montgomery Gentry - Speed,0.255385
Soda Stereo - Paseando Por Roma,0.247758
Indigo Girls - She's Saving Me,0.243442
Say Hi To Your Mom - Your Brains Vs. My Tractorbeam,0.242435
Marty Robbins (Holiday) - The Joy Of Christmas,0.239771
Huracanes Del Norte - Falsas Ilusiones,0.239748
Stephen Kellogg & The Sixers - Sweet Sophia,0.239142
Robert Earl Keen - Feelin' Good Again (Live),0.237914
Sam Bush - Song For Roy,0.237207
The Rolling Stones - Shake Your Hips,0.236807
Loudon Wainwright III - The Swimming Song,0.233778
Band Of Horses - The Funeral,0.233193
Herman's Hermits - I'm Into Something Good,0.231961
Stevie Wonder - Overjoyed,0.229386
Reno & Smiley - Charlotte Breakdown,0.227457
The Young Tradition - Lyke Wake Dirge,0.227081
Uncle Earl - Booth Shot Lincoln,0.220174
Alison Krauss - Can't Find My Way Home,0.21843
Pepe Aguilar - A Pesar De Todo,0.217941
The Del McCoury Band - Fire And The Flame,0.217139
The Del McCoury Band - I'm Afraid I Forgot The Feeling,0.217011
Ralph Stanley & The Clinch Mountain Boys - Stone Walls And Steel Bars,0.215906
Herman's Hermits - I'm Henry The VIII I Am,0.215276
Ivory Joe Hunter - Shooty Booty,0.215115
Band Of Horses - Is There A Ghost,0.214372
The Fiery Furnaces - Here Comes The Summer,0.210614
Michael Martin Murphey (Holiday) - Sleigh Ride ? Jingle Bells,0.209769
John Prine - Pretty Good,0.207826
Wreckless Eric - Excuse Me,0.207698
The National - Start A War,0.205279
Mercyme - Grace Tells Another Story,0.204923
The Rolling Stones - Gimme Shelter,0.20384
The Association - Never My Love,0.201179
Nitty Gritty Dirt Band - Mr. Bojangles,0.200621
Don Carlos - Booming Ball,0.199897
Michael Jackson (Holiday) - Little Christmas Tree,0.196989
Three Days Wait - Beautiful Baby,0.195711
Blackmore's Night (Holiday) - Emmanuel,0.194287
Kate Rusby - The Lark,0.193968
David Wilcox - Rusty Old American Dream,0.192473
Earl Scruggs - Flint Hill Special,0.192067
Staind - For You,0.192059
The Beatles - Get Back (Love Version),0.190697
Passion - Glorious,0.190139
Various Artists? 50 Most Loved Christmas Carols (Holiday) - In The Bleak Midwinter,0.1896
Janet Beazley - White (Long Time Travelin'),0.18959
Betty Everett - The Shoop Shoop Song (It's In His Kiss),0.1893
Nitty Gritty Dirt Band - Wildwood Flower,0.189098
The Monkees - Daydream Believer,0.187053
Gerry & The Pacemakers - See You In September,0.186065
Junior Brown - You Didn't Have To Go All The Way,0.184395
Kasey Chambers - Nothing At All,0.183339
The Beatles - If I Needed Someone,0.183054
The Beatles - Run For Your Life,0.182885
Mary Lou Lord - Cold Kilburn Rain,0.182602
Melissa Ferrick - Fear And Time,0.182329
Tommy Johnson - Lonesome Home Blues (Take 2),0.182113
Omens - Searching,0.181737
The Rolling Stones - Ruby Tuesday,0.181653
Waylon Jennings - San Francisco Mabel Joy,0.181639
The Del McCoury Band - On The Lonesome Wind,0.1804
Hilary Stagg - Island Sweets,0.180077
David Massengill - My First Kiss,0.179755
Sarah McLachlan - Adia,0.179617
Ella Fitzgerald - Guilty,0.178498
SubtractiveLAD - My Quadrant,0.178411
Otis Spann - Mr. Highway Man,0.176364
Sara Bareilles - Gravity (2003),0.176224
Montgomery Gentry - My Town,0.174928
Jr. Walker & The All Stars - What Does It Take (To Win Your Love),0.17319
Ralph Stanley & The Clinch Mountain Boys - Gonna Paint The Town,0.172638
The Beatles - Here Comes The Sun ? The Inner Light (Transition) (Love Version),0.171947
Meg Hutchinson - Vanishing Points,0.171853
Ella Fitzgerald - Love Walked In,0.171006
Ryan Montbleau Band - It's All Been Done Before,0.169371
The Monkees - I'm A Believer (Mono),0.166465
Pepe Aguilar - Me Falta Valor,0.166072
Ruben Studdard - Shout To The Lord,0.165541
Moonspell - Sons Of Earth,0.165367
Morricone. Ennio - Giuseppe Tornatore Suite,0.164568
Los Rieleros Del Norte - Caballo De Espadas,0.164383
Iron & Wine - Each Coming Night,0.164252
The Beatles - She Came In Through The Bathroom Window,0.163323
Sex Pistols - EMI,0.163302
Leftover Salmon - Bend In The River (Live),0.163211
England Dan & John Ford Coley - Gone Too Far,0.162155
Rosalia De Souza - Nem Que Seja A Nado,0.161156
Staind - Take This,0.160623
Old Crow Medicine Show - Take 'Em Away,0.160064
The Fray - How To Save A Life,0.158683
Debbie Reynolds - Love Is A Simple Thing,0.157647
Staind - It's Been Awhile,0.157318
Toots & The Maytals - 54-46 That's My Number,0.15723
Jr. Walker & The All Stars - What Does It Take,0.157188
Brett Dennen - There Is So Much More,0.155082
Hank Williams III - Crazed Country Rebel,0.155045
Phil Collins - Do You Remember?,0.154311
The Whigs - Written Invitation,0.153743
Little Walter - Bad Acting Woman,0.153414
Doc & Merle Watson - Big Spike Hammer,0.153371
Serj Tankian - Sky Is Over,0.151647
Anne Murray - Danny's Song,0.151365
Bruce Molsky - Buckdancer's Choice,0.15106
Christa DeErynn - Sweet Lies,0.150627
Tommy Johnson - Big Fat Mama Blues,0.150611
The Jam - Absolute Beginners,0.150565
Brett Dennen - Ain't No Reason,0.150366
The Beatles - Ob-La-Di. Ob-La-Da,0.150171
Black Lips - Can't Dance,0.150062
Sarah McLachlan - Perfect Girl,0.149384
Hezekiah Jones - Postpone,0.148982
The Beatles - Help!,0.147952
Brenda Lee (Holiday) - White Christmas,0.147516
Nitty Gritty Dirt Band - Way Downtown,0.146488
Dean Martin - You're Nobody Till Somebody Loves You,0.146323
The Black Angels - Bloodhounds On My Trail,0.145898
Aterciopelados - Bolero Falaz,0.14383
Blackmore's Night (Holiday) - Ding Dong Merrily On High,0.143352
J.B. Lenoir - Louise,0.143
Jo Dee Messina - Heads Carolina. Tails California,0.142534
Lady Saw - I've Got Your Man,0.142436
Scott Solter - Desert Trains,0.141963
The Monkees - Tomorrow's Gonna Be Another Day,0.141583
Sarah McLachlan - Fallen,0.141132
The Animals - Baby Let Me Take You Home,0.140887
Pete Fountain - Just A Closer Walk With Thee,0.139817
Junior Brown - Semi-Crazy,0.139519
Los Rieleros Del Norte - El Amor No Se Vende,0.138729
Kidz In The Hall - The In Crowd,0.137971
Wire - Reuters,0.137959
Steve Earle & The Supersuckers - Before They Make Me Run,0.137905
Sam Bush - The Dolphin Dance,0.137409
The Pogues - The Band Played Waltzing Matilda,0.13648
Canned Heat (Holiday) - Christmas Blues,0.134277
The Century's - Hard Times,0.133744
Staind - Outside,0.132814
The Paul Butterfield Blues Band - Love Her With A Feeling,0.131736
Ralph Stanley & The Clinch Mountain Boys - Man Of Constant Sorrow,0.131392
Lee Ann Womack - I'll Think Of A Reason Later,0.13131
Betty Everett - It's In His Kiss (The Shoop Shoop Song),0.131095
Sam Bush - Spooky Lane,0.130798
Moby Grape - Lazy Me,0.129798
Jay Reatard - Oh It's Such A Shame,0.129679
BR549 - Georgia On A Fast Train,0.128716
