id,song,country
298,Herman's Hermits - Listen People,0.908942
487,Irish Rovers (Holiday) - We Wish You A Merry Christmas,0.754689
606,The Ray Conniff Singers (Holiday) - Silver Bells,0.753527
486,Irish Rovers (Holiday) - The Holly Bears The Crown,0.696739
485,Irish Rovers (Holiday) - God Rest Ye Merry Gentlemen,0.667116
1727,Rachel Harrington - Shoeless Joe,0.647281
1756,Huracanes Del Norte - El Perro De Tu Marido,0.613005
1786,Markus Reuter - A Clue To Reality,0.605766
904,Loquat - It's Yours To Keep,0.559428
244,Jason Aldean - Laughed Until We Cried,0.552516
546,Loudon Wainwright III - Grey In L.A.,0.528492
955,Neil Young - Cripple Creek Ferry,0.526164
760,Les Paul & Mary Ford - How High The Moon,0.50906
1112,"Verdi, Giuseppe - Macbeth, Opera",0.506138
1362,Clarence Fountain - I Want To Go,0.505124
382,Michael Martin Murphey - Tumbling Tumbleweeds,0.502479
905,Loquat - Need Air,0.502247
36,Ella Fitzgerald - I Concentrate On You,0.492067
378,"Michael Martin Murphey (Holiday) - Corn, Water And Wood",0.475728
164,Finbar & Eddie Furey - Curragh Of Kildare,0.471652
1762,Lefty Frizzell - I Love You A Thousand Ways,0.458703
802,Ralph Stanley & The Clinch Mountain Boys - I Am Weary,0.439792
1329,The Beatles - I'll Follow The Sun,0.427733
906,Loquat - Serial Mess,0.418835
540,Black Lips - It Feels Alright,0.413992
1420,The Rolling Stones - I'm Free,0.407514
1166,John Prine - It's A Cheating Situation,0.405878
222,Starfield - Can I Stay Here Forever?,0.405038
317,Kenny Rogers (Holiday) - White Christmas,0.400697
993,Various Artists? 50 Most Loved Christmas Carols (Holiday) - While Sherherds Watched Their Flocks,0.396687
1227,The Blakes - Commit,0.395184
1679,Doc Watson - Little Sadie,0.394271
1760,Lefty Frizzell - Always Late With Your Kisses,0.379653
980,Steve Earle & Reckless Kelly - Reconsider Me,0.377986
927,Los Rieleros Del Norte - Abrazado De Un Poste,0.377947
272,Lucy Kaplansky - When I Get To The Border,0.37168
1069,Nitty Gritty Dirt Band - One Sure Honest Line,0.370777
1761,Lefty Frizzell - My Rough And Rowdy Ways,0.370548
83,Asleep At The Wheel - Cotton-Eyed Joe,0.369199
1345,The Beatles - You Won't See Me,0.366361
1001,Brandi Carlile - Throw It All Away,0.366227
862,Michelle Branch - All You Wanted,0.363649
1718,Junior Brown - Gotta Get Up Everymorning,0.359049
33,Ella Fitzgerald - Aren't You Kind Of Glad We Did,0.354894
152,Waylon Jennings - Are You Sure Hank Done It This Way,0.349883
1347,The Beatles - Paperback Writer,0.349133
1622,Iron & Wine - Communion Cups And Someone's Coat,0.345025
831,Peggy Seeger - O The Wind And Rain,0.342107
1854,The Del McCoury Band - Asheville Turnaround,0.34206
1120,Tony Bennett - I Wanna Be Around,0.341408
623,Hank Williams Jr. - Whiskey Bent And Hell Bound,0.333069
299,Herman's Hermits - There's A Kind Of Hush,0.33133
553,Lyle Lovett - Simple Song,0.32996
674,Videos - Trickle Trickle,0.323894
1325,The Beatles - If I Fell,0.320403
968,Enanitos Verdes - Luz De Dia,0.31981
1624,Iron & Wine - Faded From The Winter,0.317275
748,The Dead Milkmen - Punk Rock Girl,0.313461
381,Michael Martin Murphey - Talkin' To The Wrong Man,0.31111
1044,Blackmore's Night (Holiday) - Ma-O-Tzur,0.300137
1333,The Beatles - With A Little Help From My Friends,0.297733
766,Indigo Girls - Left Me A Fool,0.294906
1572,Leona Lewis - Bleeding Love,0.292171
1851,The Del McCoury Band - Dry My Tears And Move On,0.290404
951,Cat Stevens - The Wind,0.289076
800,Ralph Stanley & The Clinch Mountain Boys - Beautiful Star Of Bethlehem,0.288302
1359,John Michael Montgomery - Angel In My Eyes,0.286617
1866,Earl Scruggs - Get In Line Brother,0.285287
1374,Bunny Berigan - Plantation Moods,0.284609
1331,The Beatles - Things We Said Today,0.283924
1656,Rose Cousins - One Love,0.276509
943,Guns N' Roses - Don't Cry,0.276495
73,Jens Lekman - The Wrong Hands,0.275521
459,Jars Of Clay (Holiday) - God Rest Ye Merry Gentlemen,0.273698
1812,Jarabe De Palo - Grita,0.271252
421,Hank Williams III - Honky Tonk Girls,0.26882
1065,Nitty Gritty Dirt Band - You Are My Flower,0.267947
274,Lucy Kaplansky - Land Of The Living,0.267137
44,"Ella Fitzgerald - For You, For Me, For Evermore",0.266501
1723,Junior Brown - Where Has All the Money Gone?,0.264126
1431,Eric Harringer & John Paul Lacey - Nature's Lullaby,0.262377
1850,The Del McCoury Band - A Far Cry,0.262318
1266,Paul Siebel - My Town,0.260574
1563,Sarah McLachlan - Building A Mystery,0.260147
38,Ella Fitzgerald - Mood Indigo,0.260142
1488,Rissi Palmer - Anybody Out There,0.25987
1479,Stevie Wonder - My Cherie Amour,0.258718
1490,Rissi Palmer - Leavin' On Your Mind,0.257713
149,Montgomery Gentry - Speed,0.255385
468,Soda Stereo - Paseando Por Roma,0.247758
767,Indigo Girls - She's Saving Me,0.243442
1455,Say Hi To Your Mom - Your Brains Vs. My Tractorbeam,0.242435
1545,Marty Robbins (Holiday) - The Joy Of Christmas,0.239771
1757,Huracanes Del Norte - Falsas Ilusiones,0.239748
1581,Stephen Kellogg & The Sixers - Sweet Sophia,0.239142
1704,Robert Earl Keen - Feelin' Good Again (Live),0.237914
1817,Sam Bush - Song For Roy,0.237207
1415,The Rolling Stones - Shake Your Hips,0.236807
547,Loudon Wainwright III - The Swimming Song,0.233778
738,Band Of Horses - The Funeral,0.233193
297,Herman's Hermits - I'm Into Something Good,0.231961
1480,Stevie Wonder - Overjoyed,0.229386
1685,Reno & Smiley - Charlotte Breakdown,0.227457
1237,The Young Tradition - Lyke Wake Dirge,0.227081
667,Uncle Earl - Booth Shot Lincoln,0.220174
559,Alison Krauss - Can't Find My Way Home,0.21843
430,Pepe Aguilar - A Pesar De Todo,0.217941
1855,The Del McCoury Band - Fire And The Flame,0.217139
1852,The Del McCoury Band - I'm Afraid I Forgot The Feeling,0.217011
804,Ralph Stanley & The Clinch Mountain Boys - Stone Walls And Steel Bars,0.215906
296,Herman's Hermits - I'm Henry The VIII I Am,0.215276
1449,Ivory Joe Hunter - Shooty Booty,0.215115
734,Band Of Horses - Is There A Ghost,0.214372
798,The Fiery Furnaces - Here Comes The Summer,0.210614
379,Michael Martin Murphey (Holiday) - Sleigh Ride ? Jingle Bells,0.209769
1167,John Prine - Pretty Good,0.207826
1829,Wreckless Eric - Excuse Me,0.207698
715,The National - Start A War,0.205279
1249,Mercyme - Grace Tells Another Story,0.204923
1421,The Rolling Stones - Gimme Shelter,0.20384
1539,The Association - Never My Love,0.201179
1068,Nitty Gritty Dirt Band - Mr. Bojangles,0.200621
744,Don Carlos - Booming Ball,0.199897
1363,Michael Jackson (Holiday) - Little Christmas Tree,0.196989
440,Three Days Wait - Beautiful Baby,0.195711
1043,Blackmore's Night (Holiday) - Emmanuel,0.194287
757,Kate Rusby - The Lark,0.193968
445,David Wilcox - Rusty Old American Dream,0.192473
1865,Earl Scruggs - Flint Hill Special,0.192067
1567,Staind - For You,0.192059
1337,The Beatles - Get Back (Love Version),0.190697
1466,Passion - Glorious,0.190139
991,Various Artists? 50 Most Loved Christmas Carols (Holiday) - In The Bleak Midwinter,0.1896
1168,Janet Beazley - White (Long Time Travelin'),0.18959
1485,Betty Everett - The Shoop Shoop Song (It's In His Kiss),0.1893
1066,Nitty Gritty Dirt Band - Wildwood Flower,0.189098
880,The Monkees - Daydream Believer,0.187053
1848,Gerry & The Pacemakers - See You In September,0.186065
1724,Junior Brown - You Didn't Have To Go All The Way,0.184395
134,Kasey Chambers - Nothing At All,0.183339
