song,festival
Liquid Mind - I Am Willing,0.900176
No Age - My Life's Alright Without You,0.763118
Tokyo Police Club - Juno,0.746604
Ascend - The Obelisk Of Kolob,0.742362
Band Of Horses - The Funeral,0.742355
Avril Lavigne - Nobody's Home,0.733859
Nine Inch Nails - Slipping Away,0.719161
Loudon Wainwright III - Grey In L.A.,0.718742
Project 86 - Something We Can't Be,0.717888
Wumpscut - Rusty Nails From Hell,0.710867
Kathleen Edwards - I Make The Dough. You Get The Glory,0.70619
Mary Lou Lord - Cold Kilburn Rain,0.677606
Drive-By Truckers - Sink Hole,0.677125
The Black Angels - Bloodhounds On My Trail,0.665164
The National - Slow Show,0.663994
Sons And Daughters - Johnny Cash,0.661208
Korn - Blind,0.649798
Brand New - Okay I Believe You. But My Tommy Gun Don't,0.639855
Rogue Wave - Ghost,0.638124
Stephen Kellogg & The Sixers - Sweet Sophia,0.623898
Sarah McLachlan - Building A Mystery,0.623842
Black Lips - Veni Vidi Vici,0.619215
Devil Sold His Soul - Between Two Words,0.616414
Creed - Higher,0.613437
The Blakes - Modern Man,0.60952
The Bird And The Bee - The Races,0.609216
Staind - Take This,0.60282
Sourvein - Septic Werewolves,0.599484
Sarah McLachlan - Fallen,0.598789
The Fray - How To Save A Life,0.597871
Serj Tankian - Sky Is Over,0.595893
The National - Green Gloves,0.587034
Jars Of Clay (Holiday) - God Rest Ye Merry Gentlemen,0.582971
The National - Fake Empire,0.577464
FC Kahuna - Machine Says Yes,0.576345
Black Lips - It Feels Alright,0.575164
Ben Jelen - Not My Plan,0.574298
The Coup - Wear Clean Draws,0.572858
Finger Eleven - Lost My Way,0.572674
Brandi Carlile - Throw It All Away,0.568897
Secret Machines - Lightning Blue Eyes,0.564379
Ryan Montbleau Band - Honeymoon Eyes,0.563637
Rilo Kiley - A Man ? Me ? Then Jim,0.563111
Paul Oakenfold - Time Of Your Life (feat. Perry Farrell),0.56027
Kate Nash - Pumpkin Soup,0.5528
Meg Hutchinson - Vanishing Points,0.543985
Trey Anastasio - Come As Melody,0.54259
Carlton Pearson - We've Come This Far By Faith,0.536551
Botch - Japan (live),0.536066
The National - Fake Empire (Live),0.535309
Dredg - Sang Real (Live),0.532875
Lindsay Lohan - Black Hole,0.532662
Luis Miguel - Hasta Que Me Olvides,0.53129
Jason Aldean - Laughed Until We Cried,0.528558
Dire Straits - Walk Of Life,0.524088
Ronnie Earl & Duke Robillard - Lookin For Trouble,0.523114
Steve Earle & Reckless Kelly - Reconsider Me,0.519582
XTC - Roads Girdle The Globe,0.518551
Ben Jelen - Where Do We Go,0.517253
The High Violets - Sun Baby,0.516986
Secret Machines - All At Once (It's Not Important),0.516914
Starfield - Can I Stay Here Forever?,0.513515
Avril Lavigne - Contagious,0.513131
Naama Hillman - Falling,0.510687
Enanitos Verdes - Luz De Dia,0.510679
The Whigs - Written Invitation,0.51065
Drive-By Truckers - The Day John Henry Died,0.506893
Imogen Heap - The Walk,0.506432
Avril Lavigne - I'm With You,0.504123
Indigo Girls - Cold Beer And Remote Control,0.503377
Toots & The Maytals - Still Is Still Moving To Me (feat. Willie Nelson),0.501301
KMFDM - Don't Blow Your Top,0.501111
Kasey Chambers - Nothing At All,0.500603
Kathleen Edwards - Oh Canada,0.499404
Hillsong & Delirious? - I Could Sing Of Your Love Forever,0.498415
Shinedown - Burning Bright,0.497257
Rogue Wave - Nourishment Nation,0.49724
Tim Hughes - Here I am to Worship,0.491901
Laura Pausini - Viveme,0.491058
Fastball - 'Til I Get It Right,0.48824
Three Days Wait - Beautiful Baby,0.487925
Mercyme - Grace Tells Another Story,0.484964
Say Anything - Surgically Removing The Tracking Device,0.477168
Elefante - El Abandonao,0.475599
Jennie Arnau - Float On,0.46752
AC?DC - Rock And Roll Ain't Noise Pollution,0.464322
Loquat - It's Yours To Keep,0.463988
