id,song,festival
1409,Liquid Mind - I Am Willing,0.900176
1533,No Age - My Life's Alright Without You,0.763118
1649,Tokyo Police Club - Juno,0.746604
1732,Ascend - The Obelisk Of Kolob,0.742362
738,Band Of Horses - The Funeral,0.742355
1837,Avril Lavigne - Nobody's Home,0.733859
1743,Nine Inch Nails - Slipping Away,0.719161
546,Loudon Wainwright III - Grey In L.A.,0.718742
306,Project 86 - Something We Can't Be,0.717888
412,Wumpscut - Rusty Nails From Hell,0.710867
1201,"Kathleen Edwards - I Make The Dough, You Get The Glory",0.70619
1542,Mary Lou Lord - Cold Kilburn Rain,0.677606
1239,Drive-By Truckers - Sink Hole,0.677125
952,The Black Angels - Bloodhounds On My Trail,0.665164
714,The National - Slow Show,0.663994
824,Sons And Daughters - Johnny Cash,0.661208
180,Korn - Blind,0.649798
340,"Brand New - Okay I Believe You, But My Tommy Gun Don't",0.639855
988,Rogue Wave - Ghost,0.638124
1581,Stephen Kellogg & The Sixers - Sweet Sophia,0.623898
1563,Sarah McLachlan - Building A Mystery,0.623842
542,Black Lips - Veni Vidi Vici,0.619215
1279,Devil Sold His Soul - Between Two Words,0.616414
375,Creed - Higher,0.613437
1229,The Blakes - Modern Man,0.60952
352,The Bird And The Bee - The Races,0.609216
1571,Staind - Take This,0.60282
1472,Sourvein - Septic Werewolves,0.599484
1560,Sarah McLachlan - Fallen,0.598789
1399,The Fray - How To Save A Life,0.597871
647,Serj Tankian - Sky Is Over,0.595893
712,The National - Green Gloves,0.587034
459,Jars Of Clay (Holiday) - God Rest Ye Merry Gentlemen,0.582971
711,The National - Fake Empire,0.577464
884,FC Kahuna - Machine Says Yes,0.576345
540,Black Lips - It Feels Alright,0.575164
620,Ben Jelen - Not My Plan,0.574298
1287,The Coup - Wear Clean Draws,0.572858
1371,Finger Eleven - Lost My Way,0.572674
1001,Brandi Carlile - Throw It All Away,0.568897
27,Secret Machines - Lightning Blue Eyes,0.564379
660,Ryan Montbleau Band - Honeymoon Eyes,0.563637
1847,Rilo Kiley - A Man ? Me ? Then Jim,0.563111
577,Paul Oakenfold - Time Of Your Life (feat. Perry Farrell),0.56027
1777,Kate Nash - Pumpkin Soup,0.5528
1752,Meg Hutchinson - Vanishing Points,0.543985
655,Trey Anastasio - Come As Melody,0.54259
795,Carlton Pearson - We've Come This Far By Faith,0.536551
1606,Botch - Japan (live),0.536066
713,The National - Fake Empire (Live),0.535309
902,Dredg - Sang Real (Live),0.532875
1154,Lindsay Lohan - Black Hole,0.532662
373,Luis Miguel - Hasta Que Me Olvides,0.53129
244,Jason Aldean - Laughed Until We Cried,0.528558
1050,Dire Straits - Walk Of Life,0.524088
