song,jazz
Corciolli - Rain,0.979566
Steve Lacy - Alone Together,0.948645
Corciolli - Work (Water),0.935583
Peggy Lee & Art Lund (Holiday) - Winter Weather,0.935409
Daevid Allen - Untitled,0.93442
Sonny Rollins - Paradox,0.896609
Robin Guthrie & Harold Budd - Childhood Lost,0.892139
Corciolli - Children (Lake),0.889127
Verdi. Giuseppe - Luisa Miller. Opera,0.882352
The Allman Brothers Band - Mountain Jam (Live),0.880513
Skafish (Holiday) - Joy To The World,0.870807
Rachmaninov. Sergey - Etudes-tableaux. For Piano. Op. 33,0.863726
Dan Gibson - Adventureous Spirit,0.859942
Corciolli - Friends (Sky),0.853639
Chopin. Fryderyk - Nocturnes (3) for piano. Op. 15. CT. 111-113,0.848981
Jimmy Forrest - By The River Sainte Marie,0.825276
Cannonball Adderley - Autumn Leaves,0.821844
Harry James & Benny Goodman - Life Goes To A Party,0.819238
Eric Harringer & John Paul Lacey - Ageless,0.816154
Milt Jackson - Namesake,0.811628
Teddy Wilson - Flyin' Home,0.77966
Teddy Wilson - In The Mood,0.775603
Caia - Afterwards @ The Bar,0.773022
Lou Blackburn - Secret Love,0.77108
James P. Johnson - What Is This Thing Called Love,0.769619
Dan Gibson - The Fallen Leaves,0.768474
Donald Byrd & Doug Watkins - If I Love Again,0.768075
Skafish (Holiday) - O Come. O Come Emmanuel,0.749951
Lee Morgan - Hocus Pocus,0.742453
Bunny Berigan - Plantation Moods,0.739387
Chopin. Fryderyk - Nocturnes (2) for piano. Op. 48. CT. 120-121,0.738824
Scott Solter - Desert Trains,0.736083
Jean-Luc Ponty - Eulogy To Oscar Romero,0.735793
Junior Mance Trio - Smokey Blues (Live),0.733955
Sonny Rollins - St. Thomas,0.727758
Teddy Wilson - King Porter Stomp,0.727274
Milt Jackson - Enigma,0.721995
Toshiko Akiyoshi - 52nd St. Theme,0.718956
Keith Oxman - Serenity,0.718915
Craig Pilo - Early Cynical Mystery,0.717492
Paul Bley - Time On My Hands,0.716742
Clifford Brown - Hymn Of The Orient,0.716099
Sonny Rollins - On Green Dolphin Street,0.715963
Ella Fitzgerald - These Foolish Things,0.708114
Bunny Berigan - Sobbin' Blues,0.707107
Wes Montgomery - Full House (Live),0.701719
The Sons Of The West - Panhandle Shuffle,0.691489
The Youth Choir Of Saint-Francois De Versailles (Holiday) - Guillo Take Your Tambourine,0.69143
Eric Harringer & John Paul Lacey - Nature's Way,0.688079
Dan Gibson - Cool Forest Rain,0.687258
Verdi. Giuseppe - Nabucco. Opera (Nabucodonosor),0.686702
Lou Blackburn - I Cover The Waterfront,0.678286
Lowell Fulson - Guitar Shuffle,0.676809
Lee Morgan Quintet - The Gigolo,0.672409
Deuter - Coral Gardens,0.666353
Branford Marsalis - Swingin' At The Haven,0.660442
Tommy Flanagan - Rough Ridin',0.646222
Sonny Rollins - There Are Such Things,0.644252
Antonio Carlos Jobim - Agua De Beber (Live),0.643811
Pete Fountain - The Darktown Strutters' Ball,0.643552
The Four Aces - Mister Sandman,0.642724
The George Lewis Band - Pork Chop,0.642683
Flip Phillips - Dream A Little Dream Of Me,0.64006
Otis Spann - Mule Kicking In My Stall,0.639283
Ella Fitzgerald - Crying Mood,0.631714
Lester Young - Six Cats And A Prince (Master Take),0.630898
Kai Winding - Impulse,0.630546
Will Bradley & His Orchestra - When You And I Were Young. Maggie,0.630138
Antonio Carlos Jobim - Vivo Sonhando,0.624342
Chick Corea Elektric Band - Lifescape,0.621681
"Eddie ""Lockjaw"" Davis - Trane Whistle",0.620602
Frank Foster - John R. And Garfield,0.61568
Tommy Johnson - Maggie Campbell,0.613942
The Beatles - A Day In The Life,0.613489
Pee Wee Hunt & His Orchestra - Charleston,0.612253
Michael Burns - Into Nothing (Hamel's Last Time For 9 Mix),0.609138
Clifford Brown - Brownie Speaks,0.606776
Skafish (Holiday) - Jingle Bells,0.606033
Tommy Flanagan Trio - Eclypso,0.605685
Sonny Rollins - Ev'ry Time We Say Goodbye,0.603141
Digital Underground - Same Song,0.602537
Milt Jackson - Sweet And Lovely,0.594036
Clifford Brown - Love Is A Many Splendored Thing,0.591999
Jerry Bergonzi - Outhouse,0.591942
Sonny Rollins - Striver's Row (Live),0.586687
