id,song,jazz
858,Corciolli - Rain,0.979566
673,Steve Lacy - Alone Together,0.948645
856,Corciolli - Work (Water),0.935583
295,Peggy Lee & Art Lund (Holiday) - Winter Weather,0.935409
315,Daevid Allen - Untitled,0.93442
518,Sonny Rollins - Paradox,0.896609
1652,Robin Guthrie & Harold Budd - Childhood Lost,0.892139
853,Corciolli - Children (Lake),0.889127
1111,"Verdi, Giuseppe - Luisa Miller, Opera",0.882352
865,The Allman Brothers Band - Mountain Jam (Live),0.880513
966,Skafish (Holiday) - Joy To The World,0.870807
170,"Rachmaninov, Sergey - Etudes-tableaux, For Piano, Op. 33",0.863726
538,Dan Gibson - Adventureous Spirit,0.859942
857,Corciolli - Friends (Sky),0.853639
611,"Chopin, Fryderyk - Nocturnes (3) for piano, Op. 15, CT. 111-113",0.848981
1673,Jimmy Forrest - By The River Sainte Marie,0.825276
476,Cannonball Adderley - Autumn Leaves,0.821844
794,Harry James & Benny Goodman - Life Goes To A Party,0.819238
1434,Eric Harringer & John Paul Lacey - Ageless,0.816154
1601,Milt Jackson - Namesake,0.811628
838,Teddy Wilson - Flyin' Home,0.77966
835,Teddy Wilson - In The Mood,0.775603
1364,Caia - Afterwards @ The Bar,0.773022
1142,Lou Blackburn - Secret Love,0.77108
356,James P. Johnson - What Is This Thing Called Love,0.769619
537,Dan Gibson - The Fallen Leaves,0.768474
1637,Donald Byrd & Doug Watkins - If I Love Again,0.768075
967,"Skafish (Holiday) - O Come, O Come Emmanuel",0.749951
1314,Lee Morgan - Hocus Pocus,0.742453
1374,Bunny Berigan - Plantation Moods,0.739387
609,"Chopin, Fryderyk - Nocturnes (2) for piano, Op. 48, CT. 120-121",0.738824
671,Scott Solter - Desert Trains,0.736083
525,Jean-Luc Ponty - Eulogy To Oscar Romero,0.735793
377,Junior Mance Trio - Smokey Blues (Live),0.733955
520,Sonny Rollins - St. Thomas,0.727758
839,Teddy Wilson - King Porter Stomp,0.727274
1599,Milt Jackson - Enigma,0.721995
885,Toshiko Akiyoshi - 52nd St. Theme,0.718956
1807,Keith Oxman - Serenity,0.718915
875,Craig Pilo - Early Cynical Mystery,0.717492
984,Paul Bley - Time On My Hands,0.716742
1235,Clifford Brown - Hymn Of The Orient,0.716099
510,Sonny Rollins - On Green Dolphin Street,0.715963
40,Ella Fitzgerald - These Foolish Things,0.708114
1375,Bunny Berigan - Sobbin' Blues,0.707107
935,Wes Montgomery - Full House (Live),0.701719
287,The Sons Of The West - Panhandle Shuffle,0.691489
761,The Youth Choir Of Saint-Francois De Versailles (Holiday) - Guillo Take Your Tambourine,0.69143
1432,Eric Harringer & John Paul Lacey - Nature's Way,0.688079
536,Dan Gibson - Cool Forest Rain,0.687258
1113,"Verdi, Giuseppe - Nabucco, Opera (Nabucodonosor)",0.686702
1141,Lou Blackburn - I Cover The Waterfront,0.678286
570,Lowell Fulson - Guitar Shuffle,0.676809
743,Lee Morgan Quintet - The Gigolo,0.672409
3,Deuter - Coral Gardens,0.666353
908,Branford Marsalis - Swingin' At The Haven,0.660442
1541,Tommy Flanagan - Rough Ridin',0.646222
522,Sonny Rollins - There Are Such Things,0.644252
257,Antonio Carlos Jobim - Agua De Beber (Live),0.643811
1206,Pete Fountain - The Darktown Strutters' Ball,0.643552
1473,The Four Aces - Mister Sandman,0.642724
105,The George Lewis Band - Pork Chop,0.642683
462,Flip Phillips - Dream A Little Dream Of Me,0.64006
278,Otis Spann - Mule Kicking In My Stall,0.639283
34,Ella Fitzgerald - Crying Mood,0.631714
139,Lester Young - Six Cats And A Prince (Master Take),0.630898
1502,Kai Winding - Impulse,0.630546
1248,"Will Bradley & His Orchestra - When You And I Were Young, Maggie",0.630138
266,Antonio Carlos Jobim - Vivo Sonhando,0.624342
342,Chick Corea Elektric Band - Lifescape,0.621681
1382,"Eddie ""Lockjaw"" Davis - Trane Whistle",0.620602
1750,Frank Foster - John R. And Garfield,0.61568
1200,Tommy Johnson - Maggie Campbell,0.613942
1334,The Beatles - A Day In The Life,0.613489
1691,Pee Wee Hunt & His Orchestra - Charleston,0.612253
1628,Michael Burns - Into Nothing (Hamel's Last Time For 9 Mix),0.609138
1233,Clifford Brown - Brownie Speaks,0.606776
965,Skafish (Holiday) - Jingle Bells,0.606033
1763,Tommy Flanagan Trio - Eclypso,0.605685
513,Sonny Rollins - Ev'ry Time We Say Goodbye,0.603141
1306,Digital Underground - Same Song,0.602537
1602,Milt Jackson - Sweet And Lovely,0.594036
