id,song,hip hop,jazz,country,classical,festival,rock
0,Jon Schmidt - Night Song,0.00043,0.074336,0.002359,0.189933,0.004909,0.001023
1,Jon Schmidt - Passages,0.000184,0.020466,0.00064,0.040558,0.008638,0.002952
2,Jon Schmidt - Solace,0.000824,0.091116,0.008034,0.698209,0.000698,0.000499
3,Deuter - Coral Gardens,0.019823,0.666353,0.008163,0.00045,0.00194,0.00265
4,Deuter - Nada Himalaya 2,0.001293,0.005565,0.000037,0.000006,0.013397,0.000448
5,Deuter - Sea And Silence,0.001373,0.144368,0.001186,0.00936,0.006362,0.009873
6,Deuter - Buddha Nature,0.00618,0.101462,0.001044,0.000577,0.022763,0.000679
7,Deuter - Earthlight,0.000605,0.003418,0.02068,0.275556,0.012903,0.004998
8,Deuter - Yellow Mandala,0.001936,0.007792,0.000148,0.032881,0.004089,0.003733
9,Deuter - Earth Shadow,0.001688,0.041332,0.001146,0.76061,0.001197,0.000768
10,Deuter - Waves Of Light,0.003132,0.003235,0.000023,0.000211,0.00728,0.001094
11,Deuter - Empty Shore,0.000629,0.009162,0.001428,0.081009,0.003751,0.000635
12,Deuter - Marfa Lights 2,0.042117,0.038615,0.007119,0.986381,0.000514,0.000076
13,Deuter - Black Velvet Flirt,0.000863,0.004041,0.002857,0.132584,0.001639,0.002096
14,Deuter - Marfa Lights 1,0.004823,0.107104,0.002499,0.919527,0.00042,0.000106
15,Freddie Jackson - You Are My Lady,0.042202,0.097273,0.004707,0.000073,0.020653,0.007177
16,Jerry Douglas?Russ Barenberg?Edgar Meyer - Big Bug Shuffle,0.000805,0.006102,0.015911,0.007913,0.068028,0.028506
17,Little Milton - My Back Scratcher,0.036284,0.195304,0.004866,0.000001,0.148018,0.120275
18,Little Milton - Penitentiary Blues,0.02133,0.055635,0.046037,0.000039,0.053235,0.037408
19,RJD2 - All For You,0.071543,0.128559,0.014623,0.00005,0.335605,0.170256
20,RJD2 - Get It,0.265967,0.014229,0.005701,0.000001,0.144712,0.011195
21,RJD2 - Ghostwriter (Remix),0.033115,0.057451,0.002667,0,0.34512,0.072523
22,RJD2 - Inhale (Remix),0.057374,0.061782,0.002738,0.004903,0.068493,0.239808
23,RJD2 - Solomon Jones,0.291716,0.010764,0.003815,0.000067,0.116872,0.048598
24,RJD2 - Things Go Better,0.43662,0.146734,0.019676,0.000018,0.025722,0.014321
25,Bob Baldwin - I Wanna Be Where You Are,0.066341,0.124468,0.000688,0.00145,0.05561,0.00413
26,Secret Machines - All At Once (It's Not Important),0.002355,0.007402,0.12595,0.000003,0.516914,0.262075
27,Secret Machines - Lightning Blue Eyes,0.012769,0.006606,0.030025,0.000001,0.564379,0.254825
28,Coles Whalen - The Hand That Gives The Rose,0.031185,0.005708,0.036878,0.000078,0.100868,0.000689
29,Willie Colon & Ruben Blades - Ojos,0.001924,0.078217,0.025348,0.000008,0.123212,0.134134
30,Willie Colon & Ruben Blades - Pedro Navaja,0.001892,0.053725,0.009567,0.000022,0.232934,0.130297
31,Ella Fitzgerald - I Don't Want To Take A Chance,0.045136,0.061717,0.038653,0.000002,0.078319,0.007835
32,Ella Fitzgerald - A Fine Romance,0.001761,0.182834,0.057723,0.001776,0.04956,0.03008
33,Ella Fitzgerald - Aren't You Kind Of Glad We Did,0.005904,0.020516,0.354894,0.000203,0.03799,0.008519
34,Ella Fitzgerald - Crying Mood,0.000677,0.631714,0.099857,0.000682,0.022758,0.023116
35,Ella Fitzgerald - Guilty,0.03928,0.270076,0.178498,0.000194,0.021017,0.002136
36,Ella Fitzgerald - I Concentrate On You,0.003584,0.014984,0.492067,0.000004,0.187999,0.017493
37,Ella Fitzgerald - It's Only A Paper Moon,0.003592,0.164441,0.018742,0.000166,0.013387,0.023581
38,Ella Fitzgerald - Mood Indigo,0.047163,0.098918,0.260142,0.000038,0.017971,0.0059
39,Ella Fitzgerald - My Man,0.00247,0.047207,0.041782,0.00354,0.05051,0.00124
40,Ella Fitzgerald - These Foolish Things,0.042028,0.708114,0.011958,0.000052,0.020001,0.009113
41,Ella Fitzgerald - Desafinado (Slightly Out Of Tune),0.089269,0.035731,0.019919,0.000003,0.014272,0.050483
