id,song,rock
539,Black Lips - Can't Dance,0.991935
1492,ABORTED - Clinical Colostomy,0.968334
1491,The Verve - Blue (USA Mix),0.954486
1193,Guardian - Power Of Love,0.953856
646,Jay Reatard - We Who Wait,0.94404
1543,Suffocation - Reincremation,0.941289
933,"Breather Resist - Long Nights, Short Fuses",0.936086
491,In Flames - The Hive,0.93265
70,Light This City - Exile,0.929511
556,The Adverts - Safety In Numbers (Live),0.927364
1420,The Rolling Stones - I'm Free,0.92186
1730,See You Next Tuesday - Forever On Deaf Ears,0.913411
1241,Shadows Of Knight - I'll Make You Sorry,0.912471
842,Pavement - Baptist Blacktick,0.911331
947,At The Gates - Blinded By Fear,0.908972
1688,Filter - Spent,0.900983
1192,Guardian - Let It Roll,0.898341
1088,AC?DC - Dirty Deeds Done Dirt Cheap (Live),0.895373
1284,Ratt - You're In Trouble,0.890956
1175,Los Lobos - Shakin' Shakin' Shakes,0.889027
1594,The Duskfall - Trust Is Overrated,0.884042
455,Skid Row - Youth Gone Wild,0.879408
1004,Sodom - Procession To Golgotha,0.879397
1194,Guardian - Sister Wisdom,0.876536
1152,Converge - You Fail Me,0.874601
710,Krum Bums - Misery,0.873522
1086,AC?DC - Who Made Who (Live),0.871663
1414,The Rolling Stones - Get Off Of My Cloud,0.869485
1388,"Foghat - Ride, Ride, Ride",0.869022
457,Skid Row - Big Guns,0.867963
699,Entombed - Full Of Hell,0.862851
726,Fugazi - Polish,0.859732
1283,Ratt - You Should Know By Now,0.858449
1687,Filter - Hey Man Nice Shot,0.857062
872,The Bronx - Cobra Lucha,0.856544
424,Scorpions - Don't Stop At The Top,0.856057
1150,Converge - Homewrecker,0.854965
1308,Compulsion - Rapejacket,0.853552
1151,Converge - The Broken Vow,0.850625
1809,Marky Ramone - Blitzkrieg Bop,0.849466
423,Scorpions - Big City Nights,0.835024
724,Fugazi - Target,0.83423
1077,AC?DC - Back In Black,0.832625
709,Krum Bums - Fall,0.829419
1187,Magik Markers - Body Rot,0.826203
1351,The Beatles - Rock And Roll Music,0.815362
428,Scorpions - Rock You Like A Hurricane,0.812831
723,Fugazi - Reprovisional,0.806592
1418,The Rolling Stones - Start Me Up,0.799687
1607,Botch - Liquored Up And Laid,0.798752
1282,Ratt - Slip Of The Lip,0.793043
118,Sharon Jones & The Dap-Kings - Cut That Line,0.786035
200,The Cars - My Best Friends Girl,0.782007
404,The Five Blind Boys Of Mississippi - Thank The Lord I'm Singing Again,0.780302
636,Behemoth - Slaves Shall Serve,0.777175
1099,Social Distortion - Bad Luck,0.773261
314,Dom & Roland - Dance All Night (Calyx remix),0.77281
618,Foo Fighters - No Way Back,0.768544
1487,Sky Saxon - Love Dog,0.76561
201,The Cars - Since You're Gone,0.762592
1093,AC?DC - Thunderstruck,0.762502
188,Dimmu Borgir - Allegiance,0.758574
952,The Black Angels - Bloodhounds On My Trail,0.75704
1424,Fastball - Morning Star,0.756107
540,Black Lips - It Feels Alright,0.755431
1098,Social Distortion - Cold Feelings,0.754725
1281,Ratt - Lay It Down,0.753011
1606,Botch - Japan (live),0.748298
1567,Staind - For You,0.747278
598,Sex Pistols - New York,0.745759
221,Omens - Searching,0.737991
1085,AC?DC - Rock And Roll Ain't Noise Pollution,0.737151
1839,Kalmah - Withering Away,0.733583
545,Ronnie Earl - Ronnie Johnnie,0.730637
502,Fireball Ministry - In The Mourning,0.723309
1081,AC?DC - For Those About To Rock (We Salute You),0.722465
541,Black Lips - O Katrina!,0.72029
1711,The Heavenly Music Association - Alain,0.712871
1149,Converge - For You (Live),0.711591
1732,Ascend - The Obelisk Of Kolob,0.710403
624,Loscil - Kursk,0.70955
285,The Jam - Man In The Corner Shop,0.703515
1824,Soulfly - Babylon,0.696328
1810,Marky Ramone - Rockaway Beach,0.696155
1083,AC?DC - Moneytalks,0.691663
1419,The Rolling Stones - 19th Nervous Breakdown,0.69053
347,Joe Jackson - Baby Stick Around,0.68782
645,Jay Reatard - Turning Blue,0.684151
1094,AC?DC - For Those About To Rock,0.678442
946,Guns N' Roses - Sweet Child O' Mine,0.676908
1830,Wreckless Eric - Whole Wide World,0.673999
1806,El Lebrijano - Presidiarios Con Sus Caenas,0.671977
1078,AC?DC - It's A Long Way To The Top (If You Wanna Rock 'n' Roll),0.671482
1090,AC?DC - What Do You Do For Money Honey,0.669304
284,The Jam - Don't Tell Them You're Sane,0.667944
619,Foo Fighters - Low,0.662378
454,Skid Row - I Remember You,0.65917
256,Fosforito - Nunca Te He Mendtido (Bulerias De Cadiz),0.654726
